iter	Passed	Remaining
0	0	974
1	1	843
2	2	740
3	2	722
4	3	716
5	4	686
6	4	670
7	5	661
8	6	661
9	6	656
10	7	649
11	7	655
12	8	649
13	9	641
14	9	633
15	10	634
16	11	638
17	11	632
18	12	630
19	12	624
20	13	620
21	13	620
22	14	620
23	15	619
24	15	619
25	16	612
26	16	610
27	17	608
28	18	607
29	18	604
30	19	602
31	19	602
32	20	600
33	21	600
34	21	598
35	22	601
36	23	606
37	23	606
38	24	607
39	25	606
40	26	609
41	26	608
42	27	606
43	27	604
44	28	606
45	30	641
46	31	641
47	32	642
48	33	641
49	33	641
50	34	639
51	35	639
52	35	640
53	36	638
54	37	637
55	37	636
56	38	633
57	39	637
58	40	639
59	40	639
60	41	637
61	42	635
62	42	634
63	43	632
64	43	631
65	44	630
66	45	629
67	45	627
68	46	625
69	47	625
70	47	626
71	48	626
72	49	629
73	50	629
74	51	630
75	51	631
76	53	636
77	53	634
78	54	635
79	55	634
80	55	633
81	56	631
82	56	626
83	57	626
84	58	626
85	58	625
86	59	624
87	60	623
88	60	622
89	61	621
90	62	620
91	62	619
92	63	618
93	64	622
94	65	623
95	66	622
96	66	623
97	67	622
98	68	622
99	69	621
100	69	621
101	70	620
102	71	619
103	71	619
104	72	618
105	73	618
106	74	619
107	75	619
108	75	618
109	76	616
110	77	617
111	78	618
112	78	619
113	79	619
114	80	619
115	81	619
116	81	618
117	82	617
118	83	616
119	83	614
120	84	615
121	85	613
122	86	613
123	86	613
124	87	613
125	88	612
126	88	611
127	89	610
128	90	610
129	91	610
130	91	609
131	92	608
132	93	607
133	93	606
134	94	605
135	95	605
136	95	604
137	96	603
138	97	603
139	98	602
140	98	601
141	99	599
142	100	599
143	100	599
144	101	599
145	102	599
146	103	598
147	103	597
148	104	596
149	105	595
150	105	594
151	106	593
152	107	593
153	108	594
154	108	593
155	109	593
156	110	593
157	111	592
158	111	591
159	112	591
160	113	589
161	113	588
162	114	587
163	115	588
164	116	591
165	117	591
166	118	590
167	119	590
168	120	590
169	120	589
170	121	588
171	122	587
172	122	587
173	123	586
174	124	586
175	125	585
176	125	585
177	126	584
178	127	583
179	128	583
180	128	582
181	129	582
182	130	581
183	131	581
184	131	581
185	132	580
186	133	579
187	133	578
188	134	577
189	135	577
190	136	576
191	137	576
192	137	576
193	138	576
194	139	575
195	140	575
196	141	574
197	141	574
198	142	573
199	143	572
200	143	571
201	144	570
202	145	569
203	145	569
204	146	570
205	147	569
206	148	569
207	149	568
208	150	567
209	150	567
210	151	566
211	152	565
212	152	564
213	153	564
214	154	563
215	154	562
216	155	561
217	156	560
218	156	559
219	157	558
220	158	558
221	159	557
222	159	556
223	160	556
